z,theta
138.1355,0.0982119439708
138.1405,0.0982119439741
138.1455,0.0982119439777
138.1505,0.0982119439815
138.1555,0.0982119439856
138.1605,0.09821194399
138.1655,0.0982119439947
138.1705,0.0982119439997
138.1755,0.0982119440049
138.1805,0.0982119440103
138.1855,0.0982119440161
138.1905,0.098211944022
138.1955,0.0982119440283
138.2005,0.0982119440347
138.2055,0.0982119440414
138.2105,0.0982119440484
138.2155,0.0982119440555
138.2205,0.0982119440629
138.2255,0.0982119440705
138.2305,0.0982119440783
138.2355,0.0982119440863
138.2405,0.0982119440946
138.2455,0.098211944103
138.2505,0.0982119441116
138.2555,0.0982119441204
138.2605,0.0982119441294
138.2655,0.0982119441385
138.2705,0.0982119441478
138.2755,0.0982119441573
138.2805,0.098211944167
138.2855,0.0982119441768
138.2905,0.0982119441868
138.2955,0.0982119441969
138.3005,0.0982119442071
138.3055,0.0982119442175
138.3105,0.098211944228
138.3155,0.0982119442387
138.3205,0.0982119442494
138.3255,0.0982119442603
138.3305,0.0982119442713
138.3355,0.0982119442823
138.3405,0.0982119442935
138.3455,0.0982119443048
138.3505,0.0982119443161
138.3555,0.0982119443276
138.3605,0.0982119443391
